Name Batch_Num Z_Encoder Z_Scan Field_Sweep Field_Measured Vbias Vfb Response Time Pixels Lines Xrange Yrange Xcenter Ycenter Angle
EuS002120002.sxm 4 4122.394 13.5804 200 164.19080324555 0.4 0.2688578 -0.0021 "14-Apr-2022 18:07:31" 96 96 17 17 13.077 14.204 0
EuS002130002.sxm 4 4122.158 13.5804 100 99.9802714215 0.4 0.2596498 -0.0021 "14-Apr-2022 18:16:45" 96 96 17 17 13.077 14.204 0
EuS002140002.sxm 4 4122.18 13.5804 0 -0.04110453076476 0.4 0.2419267 -0.0021 "14-Apr-2022 18:25:50" 96 96 17 17 13.077 14.204 0
EuS002150002.sxm 4 4122.12 13.5804 -100 0.1516308600865 0.4 0.220854 -0.0021 "14-Apr-2022 18:34:56" 96 96 17 17 13.077 14.204 0
EuS002160002.sxm 4 4122.135 13.5804 -160 0.15543120674815 0.4 0.2051817 -0.0021 "14-Apr-2022 18:44:07" 96 96 17 17 13.077 14.204 0
EuS002170002.sxm 4 4122.381 13.5804 -180 0.15271660839185 0.4 0.1991819 -0.0021 "14-Apr-2022 18:53:20" 96 96 17 17 13.077 14.204 0
EuS002180002.sxm 4 4122.2 13.5804 -190 0.1527165433653 0.4 0.1960425 -0.0021 "14-Apr-2022 19:02:33" 96 96 17 17 13.077 14.204 0
EuS002190002.sxm 4 4122.239 13.5804 -200 0.15217363669935 0.4 0.1927015 -0.0021 "14-Apr-2022 19:11:48" 96 96 17 17 13.077 14.204 0
EuS002200002.sxm 4 4122.318 13.5804 -205 0.1535309358775 0.4 0.1906061 -0.0021 "14-Apr-2022 19:21:03" 96 96 17 17 13.077 14.204 0
EuS002210002.sxm 4 4122.236 13.5804 -210 0.15434526336315 0.4 0.1886352 -0.0021 "14-Apr-2022 19:30:19" 96 96 17 17 13.077 14.204 0
EuS002220002.sxm 4 4122.254 13.5804 -215 0.15135924418715 0.4 0.1864148 -0.0021 "14-Apr-2022 19:39:35" 96 96 17 17 13.077 14.204 0
EuS002230002.sxm 4 4122.352 13.5804 -220 0.15624546920725 0.4 0.1842323 -0.0021 "14-Apr-2022 19:48:51" 96 96 17 17 13.077 14.204 0
EuS002240002.sxm 4 4122.252 13.5804 -225 0.15325945003125 0.4 0.1818825 -0.0021 "14-Apr-2022 19:58:08" 96 96 17 17 13.077 14.204 0
EuS002250002.sxm 4 4122.12 13.5804 -230 0.155973983361 0.4 0.1796251 -0.0021 "14-Apr-2022 20:07:25" 96 96 17 17 13.077 14.204 0
EuS002260002.sxm 4 4122.339 13.5804 -240 0.1543453283897 0.4 0.1757594 -0.0021 "14-Apr-2022 20:16:43" 96 96 17 17 13.077 14.204 0
EuS002270002.sxm 4 4122.248 13.5804 -250 0.15244505751905 0.4 0.1717058 -0.0021 "14-Apr-2022 20:26:03" 96 96 17 17 13.077 14.204 0
EuS002280002.sxm 4 4122.352 13.5804 -260 0.15733128253915 0.4 0.1678904 -0.0021 "14-Apr-2022 20:35:23" 96 96 17 17 13.077 14.204 0
EuS002290002.sxm 4 4122.265 13.5804 -300 0.15651689002695 0.4 0.1549264 -0.0021 "14-Apr-2022 20:44:46" 96 96 17 17 13.077 14.204 0
EuS002300002.sxm 4 4122.438 13.5804 -400 0.1540737775169 0.4 0.1335691 -0.0021 "14-Apr-2022 20:54:17" 96 96 17 17 13.077 14.204 0
EuS002310002.sxm 4 4122.255 13.5804 -300 0.1554310116685 0.4 0.15292 -0.0021 "14-Apr-2022 21:03:47" 96 96 17 17 13.077 14.204 0
EuS002320002.sxm 4 4122.381 13.5804 -200 0.1543450682835 0.4 0.1802591 -0.0021 "14-Apr-2022 21:13:11" 96 96 17 17 13.077 14.204 0
EuS002330002.sxm 4 4122.398 13.5804 -100 0.1557024324882 0.4 0.2065022 -0.0021 "14-Apr-2022 21:22:26" 96 96 17 17 13.077 14.204 0
EuS002340002.sxm 4 4122.368 13.5804 -60 0.1519021508531 0.4 0.2167952 -0.0021 "14-Apr-2022 21:31:31" 96 96 17 17 13.077 14.204 0
EuS002350002.sxm 4 4122.174 13.5804 -40 0.1581457400779 0.4 0.2225969 -0.0021 "14-Apr-2022 21:40:33" 96 96 17 17 13.077 14.204 0
EuS002360002.sxm 4 4122.316 13.5804 -30 0.1562455342338 0.4 0.2259821 -0.0021 "14-Apr-2022 21:49:33" 96 96 17 17 13.077 14.204 0
EuS002370002.sxm 4 4122.215 13.5804 -25 0.1521737017259 0.4 0.2280644 -0.0021 "14-Apr-2022 21:58:32" 96 96 17 17 13.077 14.204 0
EuS002380002.sxm 4 4122.133 13.5804 -20 0.15543120674815 0.4 0.2299168 -0.0021 "14-Apr-2022 22:07:31" 96 96 17 17 13.077 14.204 0
EuS002390002.sxm 4 4122.336 13.5804 -15 0.15298802921155 0.4 0.2316217 -0.0021 "14-Apr-2022 22:16:29" 96 96 17 17 13.077 14.204 0
EuS002400002.sxm 4 4122.197 13.5804 -10 0.1524451225456 0.4 0.2334159 -0.0021 "14-Apr-2022 22:25:27" 96 96 17 17 13.077 14.204 0
EuS002410002.sxm 4 4122.162 13.5804 -5 0.15217376675245 0.4 0.2351167 -0.0021 "14-Apr-2022 22:34:25" 96 96 17 17 13.077 14.204 0
EuS002420002.sxm 4 4122.12 13.5804 0 0.15217376675245 0.4 0.236852 -0.0021 "14-Apr-2022 22:43:22" 96 96 17 17 13.077 14.204 0
EuS002430002.sxm 4 4122.399 13.5804 10 9.98167946748 0.4 0.2396221 -0.0021 "14-Apr-2022 22:52:19" 96 96 17 17 13.077 14.204 0
EuS002440002.sxm 4 4122.406 13.5804 20 19.988439675295 0.4 0.2423988 -0.0021 "14-Apr-2022 23:01:18" 96 96 17 17 13.077 14.204 0
EuS002450002.sxm 4 4122.385 13.5804 30 29.936331347395 0.4 0.2449957 -0.0021 "14-Apr-2022 23:10:17" 96 96 17 17 13.077 14.204 0
EuS002460002.sxm 4 4122.242 13.5804 50 49.973521427225 0.4 0.2494795 -0.0021 "14-Apr-2022 23:19:18" 96 96 17 17 13.077 14.204 0
EuS002470002.sxm 4 4122.22 13.5804 100 99.9766299347 0.4 0.2591697 -0.0021 "14-Apr-2022 23:28:24" 96 96 17 17 13.077 14.204 0
EuS002480002.sxm 4 4122.209 13.5804 200 196.4593833379 0.4 0.2737575 -0.0021 "14-Apr-2022 23:37:39" 96 96 17 17 13.077 14.204 0
